order_id,order_date,region,category,product,sales_rep,quantity,unit_price,discount,revenue,cost
ORD-1024,2024-08-31,Central,Furniture,Sofa,Eli Khan,4,815.76,0.15,2773.58,2026.53
ORD-1025,2025-04-29,East,Electronics,Headphones,Dara Patel,7,297.76,0,2084.32,1350.0
ORD-1026,2025-02-24,North,Furniture,Desk,Ben Lee,2,105.01,0.15,178.52,98.51
ORD-1027,2024-07-15,South,Electronics,Monitor,Ana Cruz,8,223.17,0,1785.36,952.6
ORD-1028,2025-03-29,North,Clothing,T-Shirt,Ben Lee,1,983.44,0.1,885.1,620.29
ORD-1029,2024-06-19,South,Furniture,Sofa,Dara Patel,8,332.41,0.05,2526.32,1820.8
ORD-1030,2024-01-03,Central,Furniture,Bookshelf,Fei Lin,8,438.6,0.15,2982.48,2198.67
ORD-1031,2025-05-13,Central,Electronics,Phone,Ana Cruz,5,338.29,0,1691.45,1055.05
ORD-1032,2024-11-17,North,Electronics,Laptop,Eli Khan,8,761.73,0.2,4875.07,2970.56
ORD-1033,2024-03-23,Central,Electronics,Laptop,Ben Lee,2,1017.69,0,2035.38,1162.47
ORD-1034,2025-08-15,East,Clothing,T-Shirt,Chen Wu,2,637.55,0.1,1147.59,711.01
ORD-1035,2024-07-28,East,Clothing,Jacket,Dara Patel,4,409.44,0,1637.76,1067.01
ORD-1036,2024-11-19,North,Electronics,Laptop,Eli Khan,8,937.42,0.1,6749.42,5054.16
ORD-1037,2024-08-06,East,Clothing,Jacket,Chen Wu,3,1400.89,0,4202.67,2999.79
ORD-1038,2024-06-10,North,Furniture,Lamp,Fei Lin,5,923.34,0.2,3693.36,2386.62
ORD-1039,2025-07-21,South,Furniture,Desk,Chen Wu,3,407.73,0,1223.19,822.87
ORD-1040,2024-10-15,Central,Clothing,Jeans,Dara Patel,6,317.34,0.15,1618.43,1142.41
ORD-1041,2024-09-14,South,Electronics,Laptop,Fei Lin,7,1246.58,0,8726.06,3936.01
ORD-1042,2024-09-25,South,Electronics,Headphones,Eli Khan,7,847.95,0,5935.65,2805.03
ORD-1043,2024-02-06,North,Furniture,Lamp,Chen Wu,3,653.23,0,1959.69,1063.09
ORD-1044,2024-08-03,West,Clothing,Jeans,Eli Khan,2,540.21,0.1,972.38,695.49
ORD-1045,2024-06-07,East,Electronics,Phone,Dara Patel,3,1323.9,0,3971.7,2000.98
ORD-1046,2025-11-16,North,Clothing,Jeans,Dara Patel,5,251.41,0.15,1068.49,515.47
ORD-1047,2024-08-15,South,Electronics,Headphones,Ana Cruz,6,468.21,0.2,2247.41,1598.8
ORD-1048,2025-11-06,East,Electronics,Headphones,Chen Wu,6,428.73,0,2572.38,1903.73
ORD-1049,2025-10-18,East,Clothing,Sneakers,Ben Lee,6,1409.77,0,8458.62,6031.94
ORD-1050,2025-08-17,East,Furniture,Desk,Dara Patel,2,900.91,0,1801.82,1204.63
ORD-1051,2025-09-12,West,Clothing,T-Shirt,Ana Cruz,7,1350.76,0,9455.32,4977.44
ORD-1052,2025-06-16,Central,Clothing,Jeans,Chen Wu,6,655.48,0.15,3342.95,2427.75
ORD-1053,2025-11-10,East,Electronics,Tablet,Eli Khan,5,1005.34,0,5026.7,2868.84
ORD-1054,2024-05-10,East,Electronics,Headphones,Dara Patel,7,1020.82,0,7145.74,4535.08
ORD-1055,2025-07-15,East,Electronics,Tablet,Dara Patel,5,327.12,0.2,1308.48,816.49
ORD-1056,2025-03-28,North,Furniture,Chair,Chen Wu,8,1193.7,0.2,7639.68,5124.61
ORD-1057,2025-06-11,East,Clothing,Hat,Ben Lee,6,153.68,0.2,737.66,383.92
ORD-1058,2024-07-22,North,Electronics,Laptop,Dara Patel,1,378.59,0.05,359.66,227.8
ORD-1059,2025-02-28,South,Clothing,Hat,Ben Lee,4,1081.74,0.05,4110.61,2459.43
ORD-1060,2025-11-02,Central,Clothing,T-Shirt,Dara Patel,2,1170.95,0,2341.9,1177.43
ORD-1061,2024-02-21,Central,Clothing,Jeans,Eli Khan,2,692.85,0.2,1108.56,653.38
ORD-1062,2025-09-01,South,Furniture,Sofa,Fei Lin,7,1248.4,0.1,7864.92,4591.34
ORD-1063,2025-05-01,Central,Furniture,Bookshelf,Dara Patel,4,1262.2,0,5048.8,3431.89
ORD-1064,2025-10-03,East,Electronics,Tablet,Chen Wu,8,130.06,0,1040.48,541.41
ORD-1065,2025-07-07,South,Electronics,Phone,Ana Cruz,3,358.42,0.15,913.97,453.18
ORD-1066,2025-02-28,West,Furniture,Bookshelf,Eli Khan,8,632.42,0,5059.36,3540.88
ORD-1067,2024-01-21,West,Clothing,Sneakers,Dara Patel,8,23.76,0,190.08,102.56
ORD-1068,2025-07-05,North,Clothing,Hat,Dara Patel,4,740.02,0,2960.08,1719.07
ORD-1069,2024-12-10,Central,Clothing,Sneakers,Ana Cruz,3,1263.15,0,3789.45,2820.17
ORD-1070,2025-02-07,West,Clothing,Hat,Ben Lee,1,139.66,0.05,132.68,65.11
ORD-1071,2024-02-21,West,Furniture,Sofa,Chen Wu,6,329.32,0,1975.92,1089.23
ORD-1072,2025-03-07,East,Furniture,Desk,Ben Lee,8,43.78,0.1,315.22,146.77
ORD-1073,2025-10-27,Central,Electronics,Laptop,Ben Lee,1,1425.17,0,1425.17,1000.14
ORD-1074,2024-09-01,East,Electronics,Headphones,Chen Wu,2,852.49,0,1704.98,1005.1
ORD-1075,2024-06-20,North,Clothing,Hat,Eli Khan,2,1170.02,0,2340.04,1730.26
ORD-1076,2024-01-27,Central,Furniture,Lamp,Fei Lin,7,604.03,0.15,3593.98,1831.13
ORD-1077,2025-10-04,Central,Electronics,Laptop,Ana Cruz,5,1277.69,0.1,5749.61,3976.77
ORD-1078,2024-12-21,West,Clothing,Sneakers,Dara Patel,6,117.4,0.15,598.74,330.73
ORD-1079,2024-04-18,Central,Furniture,Bookshelf,Fei Lin,8,1065.35,0.05,8096.66,4071.33
ORD-1080,2024-10-03,East,Clothing,Hat,Chen Wu,8,705.34,0.2,4514.18,3021.38
ORD-1081,2024-09-08,West,Electronics,Tablet,Chen Wu,8,377.14,0.05,2866.26,1779.82
ORD-1082,2024-01-30,East,Furniture,Bookshelf,Chen Wu,3,739.01,0,2217.03,1528.31
ORD-1083,2025-09-02,West,Clothing,Jacket,Dara Patel,1,782.19,0,782.19,372.08
ORD-1084,2025-07-22,South,Electronics,Headphones,Dara Patel,8,680.54,0,5444.32,2601.93
ORD-1085,2024-09-06,Central,Furniture,Lamp,Chen Wu,6,717.79,0.1,3876.07,2143.96
ORD-1086,2024-12-26,South,Clothing,Sneakers,Chen Wu,5,470.34,0,2351.7,1143.39
ORD-1087,2024-05-02,Central,Clothing,Hat,Eli Khan,3,299.44,0.15,763.57,454.52
ORD-1088,2025-09-03,North,Furniture,Desk,Fei Lin,4,454.93,0,1819.72,916.83
ORD-1089,2025-06-30,South,Electronics,Tablet,Fei Lin,1,1461.83,0.1,1315.65,707.35
ORD-1090,2025-05-17,North,Electronics,Laptop,Chen Wu,5,712.05,0.05,3382.24,1867.71
ORD-1091,2025-05-04,North,Electronics,Laptop,Ben Lee,7,745.24,0.1,4695.01,2999.33
ORD-1092,2024-06-01,West,Clothing,Jacket,Eli Khan,2,1490.97,0,2981.94,1841.12
ORD-1093,2025-09-02,Central,Clothing,Jeans,Dara Patel,7,684.01,0.05,4548.67,2452.67
ORD-1094,2024-11-08,South,Clothing,Hat,Fei Lin,1,920.3,0.15,782.25,375.3
ORD-1095,2024-08-04,North,Furniture,Desk,Dara Patel,3,371.2,0.1,1002.24,473.58
ORD-1096,2025-04-06,East,Clothing,Hat,Fei Lin,8,447.52,0,3580.16,1920.51
ORD-1097,2025-04-09,South,Electronics,Phone,Dara Patel,5,1184.92,0.15,5035.91,3157.2
ORD-1098,2024-04-27,North,Clothing,Jeans,Ben Lee,3,1363.99,0.2,3273.58,1612.8
ORD-1099,2024-11-10,West,Clothing,Hat,Chen Wu,5,667.14,0.05,3168.91,2080.72
ORD-1100,2025-05-27,East,Clothing,Sneakers,Eli Khan,8,134.46,0,1075.68,771.08
ORD-1101,2024-09-13,Central,Electronics,Laptop,Ana Cruz,4,1443.44,0.2,4619.01,3270.98
ORD-1102,2025-11-19,West,Furniture,Lamp,Chen Wu,1,1148.22,0,1148.22,678.77
ORD-1103,2024-07-04,East,Clothing,Sneakers,Chen Wu,8,1454.05,0.05,11050.78,6126.42
ORD-1104,2025-11-17,West,Electronics,Phone,Eli Khan,6,626.29,0.05,3569.85,1915.1
ORD-1105,2024-02-07,West,Furniture,Desk,Eli Khan,6,389.81,0,2338.86,1733.22
ORD-1106,2024-01-02,Central,Clothing,Hat,Dara Patel,8,628.67,0,5029.36,3045.44
ORD-1107,2025-10-02,West,Furniture,Desk,Fei Lin,4,411.58,0,1646.32,1199.02
ORD-1108,2025-05-11,Central,Electronics,Laptop,Dara Patel,4,1069.03,0,4276.12,2630.89
ORD-1109,2024-04-05,West,Electronics,Laptop,Fei Lin,8,1421.39,0.15,9665.45,6762.36
ORD-1110,2024-10-25,Central,Clothing,Jacket,Ben Lee,7,1254.57,0.05,8342.89,4364.33
ORD-1111,2025-01-27,West,Electronics,Monitor,Chen Wu,3,1298.08,0,3894.24,2655.1
ORD-1112,2025-06-03,West,Furniture,Desk,Ben Lee,5,1093.19,0.2,4372.76,2737.7
ORD-1113,2025-04-02,West,Clothing,Sneakers,Chen Wu,6,508.67,0.2,2441.62,1496.78
ORD-1114,2024-07-12,East,Clothing,Jeans,Fei Lin,7,361.84,0.2,2026.3,1161.54
ORD-1115,2025-04-29,South,Clothing,Sneakers,Dara Patel,7,1482.79,0.2,8303.62,5781.18
ORD-1116,2024-02-07,North,Electronics,Monitor,Eli Khan,6,1306.5,0.2,6271.2,4411.86
ORD-1117,2025-04-12,East,Electronics,Phone,Chen Wu,7,1308.34,0,9158.38,4326.86
ORD-1118,2025-09-30,Central,Clothing,Sneakers,Dara Patel,2,1279.87,0.2,2047.79,1335.79
ORD-1119,2024-11-20,East,Clothing,Sneakers,Ben Lee,1,931.93,0,931.93,595.83
ORD-1120,2024-04-02,North,Furniture,Desk,Ana Cruz,2,673.86,0.15,1145.56,618.42
ORD-1121,2024-11-28,West,Electronics,Tablet,Eli Khan,6,571.64,0,3429.84,1794.7
ORD-1122,2025-11-29,South,Electronics,Phone,Dara Patel,3,132.27,0.2,317.45,179.28
ORD-1123,2025-08-20,North,Electronics,Phone,Dara Patel,8,962.29,0.05,7313.4,3851.22
ORD-1124,2024-10-21,East,Clothing,Hat,Fei Lin,3,124.68,0,374.04,279.14
ORD-1125,2025-03-10,West,Clothing,Jacket,Ana Cruz,8,1270.28,0,10162.24,7619.77
ORD-1126,2024-08-30,West,Furniture,Lamp,Chen Wu,6,868.6,0.15,4429.86,2385.79
ORD-1127,2024-01-09,South,Clothing,T-Shirt,Eli Khan,8,1251.77,0,10014.16,6836.89
ORD-1128,2024-12-26,South,Electronics,Phone,Fei Lin,5,1021.48,0.15,4341.29,2953.12
ORD-1129,2024-04-09,South,Clothing,T-Shirt,Ana Cruz,5,1186.09,0,5930.45,3699.84
ORD-1130,2024-10-29,East,Furniture,Sofa,Eli Khan,3,313.18,0.2,751.63,459.86
ORD-1131,2025-05-28,East,Furniture,Chair,Fei Lin,5,1372.36,0.05,6518.71,4825.25
ORD-1132,2024-12-12,West,Electronics,Headphones,Eli Khan,2,224.02,0,448.04,317.23
ORD-1133,2025-01-09,East,Electronics,Headphones,Eli Khan,1,407.72,0,407.72,239.1
ORD-1134,2025-01-25,Central,Clothing,Jacket,Chen Wu,2,1017.13,0.05,1932.55,884.16
ORD-1135,2025-09-16,North,Electronics,Laptop,Ben Lee,8,1365.44,0,10923.52,7043.18
ORD-1136,2024-02-16,South,Electronics,Tablet,Dara Patel,8,187.44,0,1499.52,1073.92
ORD-1137,2025-04-09,West,Furniture,Lamp,Fei Lin,7,887.2,0.15,5278.84,2620.19
ORD-1138,2024-04-11,East,Furniture,Lamp,Ben Lee,7,1409.49,0,9866.43,4536.73
ORD-1139,2025-03-30,East,Furniture,Chair,Ana Cruz,6,162.54,0.15,828.95,464.38
ORD-1140,2025-02-11,South,Furniture,Chair,Fei Lin,2,1424.28,0.2,2278.85,1336.35
ORD-1141,2025-10-16,Central,Clothing,T-Shirt,Ben Lee,1,1183.39,0,1183.39,883.57
ORD-1142,2024-03-11,South,Clothing,Jeans,Eli Khan,4,1222.38,0,4889.52,2682.23
ORD-1143,2024-01-03,North,Furniture,Chair,Ben Lee,3,817.22,0.2,1961.33,985.27
ORD-1144,2024-01-16,West,Furniture,Chair,Eli Khan,6,38.43,0,230.58,107.39
ORD-1145,2024-04-26,North,Clothing,T-Shirt,Dara Patel,8,680.69,0,5445.52,3288.94
ORD-1146,2025-05-30,East,Electronics,Monitor,Dara Patel,1,1094.96,0.2,875.97,567.34
ORD-1147,2025-10-20,West,Electronics,Laptop,Fei Lin,8,1273.24,0.05,9676.62,6346.21
ORD-1148,2025-03-30,Central,Electronics,Laptop,Fei Lin,6,918.32,0,5509.92,2688.06
ORD-1149,2025-08-22,Central,Clothing,Jacket,Eli Khan,7,1492.02,0.1,9399.73,5061.47
ORD-1150,2025-03-16,West,Electronics,Laptop,Dara Patel,4,653.65,0,2614.6,1501.16
ORD-1151,2025-03-01,South,Clothing,T-Shirt,Fei Lin,6,648.74,0.15,3308.57,1741.85
ORD-1152,2025-04-30,East,Electronics,Laptop,Ben Lee,2,153.45,0,306.9,206.66
ORD-1153,2025-07-23,West,Electronics,Monitor,Fei Lin,6,1009.97,0.05,5756.83,3201.25
ORD-1154,2024-02-22,South,Furniture,Lamp,Fei Lin,5,537.19,0.1,2417.36,1455.79
ORD-1155,2025-05-08,East,Electronics,Laptop,Eli Khan,6,1270.38,0,7622.28,3692.73
ORD-1156,2024-08-19,East,Furniture,Lamp,Ana Cruz,1,919.36,0.15,781.46,546.11
ORD-1157,2024-07-03,Central,Furniture,Bookshelf,Fei Lin,6,536.27,0,3217.62,2287.6
ORD-1158,2025-02-14,West,Electronics,Phone,Dara Patel,1,151.26,0.1,136.13,70.04
ORD-1159,2024-12-15,Central,Electronics,Tablet,Ana Cruz,5,1086.57,0.2,4346.28,3183.31
ORD-1160,2024-02-23,West,Electronics,Phone,Dara Patel,1,1015.84,0,1015.84,592.17
ORD-1161,2025-09-13,West,Furniture,Sofa,Ana Cruz,5,335.12,0.1,1508.04,730.11
ORD-1162,2024-10-17,West,Clothing,Hat,Eli Khan,8,797.5,0,6380.0,2957.93
ORD-1163,2024-02-26,East,Electronics,Phone,Chen Wu,5,1418.81,0.2,5675.24,2787.51
ORD-1164,2024-12-01,Central,Electronics,Laptop,Fei Lin,8,1124.32,0,8994.56,4396.14
ORD-1165,2024-08-23,West,Clothing,Hat,Ana Cruz,6,122.03,0.2,585.74,393.98
ORD-1166,2025-04-15,East,Electronics,Tablet,Ana Cruz,7,866.5,0.15,5155.68,3310.17
ORD-1167,2025-02-18,East,Electronics,Tablet,Ana Cruz,3,1204.96,0.1,3253.39,1913.09
ORD-1168,2025-03-23,East,Electronics,Phone,Fei Lin,7,889.47,0.1,5603.66,2653.86
ORD-1169,2024-12-13,Central,Electronics,Tablet,Ben Lee,3,128.42,0.15,327.47,158.56
ORD-1170,2024-12-23,Central,Furniture,Chair,Ben Lee,4,167.66,0,670.64,341.48
ORD-1171,2025-11-02,West,Electronics,Phone,Fei Lin,8,703.97,0.1,5068.58,3436.31
ORD-1172,2025-08-01,West,Clothing,Hat,Ana Cruz,6,1298.41,0.15,6621.89,3607.88
ORD-1173,2025-04-25,East,Furniture,Bookshelf,Dara Patel,5,893.26,0,4466.3,2689.61
ORD-1174,2025-04-07,North,Electronics,Laptop,Eli Khan,6,1250.07,0,7500.42,4825.77
ORD-1175,2025-08-31,North,Clothing,Sneakers,Dara Patel,8,876.79,0.2,5611.46,3769.08
ORD-1176,2025-08-08,North,Clothing,Jeans,Dara Patel,6,913.43,0.1,4932.52,2442.87
ORD-1177,2024-04-15,West,Furniture,Desk,Eli Khan,3,73.13,0.15,186.48,108.41
ORD-1178,2025-06-19,East,Clothing,Jeans,Fei Lin,6,568.69,0,3412.14,1932.04
ORD-1179,2025-09-04,East,Electronics,Tablet,Chen Wu,2,504.59,0.1,908.26,593.56
ORD-1180,2025-11-03,East,Clothing,Jeans,Chen Wu,6,136.03,0.15,693.75,341.62
ORD-1181,2025-11-02,West,Clothing,Sneakers,Fei Lin,3,898.64,0,2695.92,1463.55
ORD-1182,2024-12-02,North,Electronics,Monitor,Chen Wu,2,974.35,0.05,1851.26,1115.47
ORD-1183,2024-11-12,South,Electronics,Phone,Ben Lee,6,1422.29,0.05,8107.05,4115.15
ORD-1184,2024-03-20,Central,Furniture,Desk,Dara Patel,1,997.96,0.2,798.37,507.29
ORD-1185,2024-06-06,South,Electronics,Phone,Dara Patel,3,1085.96,0,3257.88,1867.6
ORD-1186,2025-09-17,West,Furniture,Sofa,Ben Lee,4,808.01,0,3232.04,2390.67
ORD-1187,2025-01-11,Central,Clothing,Hat,Eli Khan,8,700.59,0,5604.72,3830.47
ORD-1188,2025-03-04,East,Electronics,Phone,Eli Khan,3,1311.41,0,3934.23,2527.17
ORD-1189,2024-04-15,West,Clothing,Hat,Eli Khan,2,438.32,0.2,701.31,349.32
ORD-1190,2024-05-30,West,Furniture,Desk,Ana Cruz,4,1227.8,0,4911.2,3580.96
ORD-1191,2025-02-09,North,Clothing,Jacket,Chen Wu,4,588.46,0,2353.84,1323.97
ORD-1192,2024-04-11,West,Clothing,Jacket,Fei Lin,3,219.34,0,658.02,477.21
ORD-1193,2024-05-22,South,Clothing,Sneakers,Ben Lee,8,928.79,0,7430.32,3386.01
ORD-1194,2025-07-15,North,Clothing,Hat,Ana Cruz,7,180.11,0,1260.77,657.23
ORD-1195,2024-09-01,Central,Furniture,Lamp,Eli Khan,8,108.27,0.2,692.93,499.98
ORD-1196,2024-01-17,Central,Clothing,Hat,Chen Wu,4,1082.04,0,4328.16,2505.02
ORD-1197,2024-09-03,East,Clothing,Sneakers,Ana Cruz,3,1001.59,0,3004.77,1824.03
ORD-1198,2025-06-22,West,Clothing,Hat,Chen Wu,1,594.82,0.05,565.08,261.67
ORD-1199,2024-09-16,North,Clothing,T-Shirt,Eli Khan,6,1185.95,0,7115.7,3716.8
ORD-1200,2024-12-06,West,Electronics,Laptop,Fei Lin,6,825.83,0.2,3963.98,2548.2
ORD-1201,2025-05-05,North,Clothing,Jeans,Chen Wu,3,108.7,0.2,260.88,191.25
ORD-1202,2024-07-25,Central,Electronics,Phone,Dara Patel,1,483.66,0,483.66,292.43
ORD-1203,2024-09-16,East,Electronics,Phone,Chen Wu,5,545.11,0.2,2180.44,1012.47
ORD-1204,2024-05-07,South,Furniture,Sofa,Dara Patel,7,1118.81,0.05,7440.09,4104.78
ORD-1205,2025-05-24,West,Furniture,Lamp,Eli Khan,5,1204.7,0.15,5119.97,2956.01
ORD-1206,2024-07-03,East,Clothing,Jacket,Dara Patel,6,167.36,0,1004.16,650.97
ORD-1207,2025-09-09,East,Clothing,Sneakers,Eli Khan,3,1039.3,0,3117.9,1821.29
ORD-1208,2025-03-21,South,Furniture,Desk,Ana Cruz,2,1011.71,0.05,1922.25,1074.52
ORD-1209,2024-05-26,East,Clothing,Sneakers,Chen Wu,1,202.45,0,202.45,138.39
ORD-1210,2025-01-27,North,Clothing,T-Shirt,Eli Khan,3,1023.41,0,3070.23,1724.25
ORD-1211,2024-05-20,North,Clothing,Jacket,Ana Cruz,7,481.86,0,3373.02,1770.44
ORD-1212,2024-07-09,East,Furniture,Lamp,Fei Lin,7,1371.61,0,9601.27,5074.59
ORD-1213,2025-04-01,South,Electronics,Monitor,Ana Cruz,5,1045.56,0.05,4966.41,2533.13
ORD-1214,2025-04-07,East,Electronics,Headphones,Fei Lin,2,1218.61,0.2,1949.78,1454.48
ORD-1215,2024-03-07,South,Clothing,Hat,Chen Wu,5,1338.63,0.2,5354.52,2662.54
ORD-1216,2025-06-04,North,Electronics,Laptop,Chen Wu,4,1191.22,0,4764.88,3274.01
ORD-1217,2025-07-21,North,Clothing,Jacket,Ana Cruz,8,1208.44,0.1,8700.77,4254.08
ORD-1218,2024-11-12,South,Furniture,Sofa,Chen Wu,7,1157.21,0.2,6480.38,4033.84
ORD-1219,2025-10-19,Central,Electronics,Headphones,Fei Lin,8,1024.96,0,8199.68,4005.55
ORD-1220,2025-08-24,North,Electronics,Phone,Eli Khan,7,761.75,0.2,4265.8,1990.52
ORD-1221,2024-06-05,Central,Furniture,Chair,Chen Wu,3,494.15,0.15,1260.08,652.27
ORD-1222,2024-03-21,North,Furniture,Chair,Eli Khan,5,200.88,0,1004.4,637.12
ORD-1223,2025-10-18,Central,Electronics,Monitor,Chen Wu,3,269.23,0.1,726.92,484.27
ORD-1224,2025-07-31,East,Electronics,Laptop,Fei Lin,2,82.51,0.15,140.27,95.57
ORD-1225,2024-08-03,East,Clothing,Sneakers,Dara Patel,1,754.59,0.15,641.4,393.61
ORD-1226,2024-09-07,West,Clothing,Sneakers,Dara Patel,5,688.51,0.15,2926.17,1369.37
ORD-1227,2025-05-10,East,Furniture,Chair,Fei Lin,6,915.89,0,5495.34,3893.15
ORD-1228,2024-12-19,West,Furniture,Chair,Ana Cruz,6,779.75,0,4678.5,2553.22
ORD-1229,2024-09-30,Central,Furniture,Chair,Dara Patel,3,158.77,0,476.31,349.43
ORD-1230,2024-09-11,Central,Electronics,Tablet,Dara Patel,6,296.9,0,1781.4,1067.91
ORD-1231,2025-05-25,South,Furniture,Sofa,Ben Lee,1,148.72,0.05,141.28,85.0
ORD-1232,2025-08-20,West,Furniture,Desk,Chen Wu,1,432.81,0.1,389.53,278.4
ORD-1233,2025-07-03,West,Electronics,Laptop,Chen Wu,7,213.89,0,1497.23,1000.53
ORD-1234,2024-02-16,Central,Furniture,Desk,Dara Patel,4,553.35,0,2213.4,1044.86
ORD-1235,2025-07-17,East,Furniture,Lamp,Eli Khan,2,206.07,0,412.14,234.17
ORD-1236,2025-01-09,East,Electronics,Phone,Dara Patel,7,757.62,0,5303.34,2448.42
ORD-1237,2025-06-15,West,Furniture,Chair,Eli Khan,3,502.03,0.1,1355.48,739.49
ORD-1238,2024-11-02,North,Clothing,Jacket,Chen Wu,8,1067.48,0,8539.84,5059.58
ORD-1239,2024-12-05,North,Clothing,T-Shirt,Eli Khan,7,881.8,0.2,4938.08,3553.59
ORD-1240,2025-04-30,Central,Furniture,Lamp,Fei Lin,4,1086.28,0.1,3910.61,2323.43
ORD-1241,2025-09-26,North,Furniture,Chair,Dara Patel,4,61.88,0.15,210.39,101.61
ORD-1242,2024-11-17,Central,Furniture,Chair,Dara Patel,7,1040.39,0.05,6918.59,4154.93
ORD-1243,2024-03-04,West,Clothing,Jeans,Chen Wu,4,847.92,0.15,2882.93,1711.05
ORD-1244,2024-06-26,East,Furniture,Lamp,Eli Khan,6,826.22,0.15,4213.72,2872.06
ORD-1245,2025-05-10,East,Electronics,Phone,Chen Wu,5,843.76,0,4218.8,3090.04
ORD-1246,2024-07-31,East,Clothing,Sneakers,Chen Wu,6,727.51,0.1,3928.55,2868.27
ORD-1247,2024-05-04,South,Clothing,Hat,Chen Wu,7,1345.2,0.05,8945.58,6221.77
ORD-1248,2024-02-13,West,Furniture,Desk,Ben Lee,6,1387.15,0.15,7074.47,3727.77
ORD-1249,2024-07-25,South,Clothing,Jacket,Ben Lee,5,218.85,0.1,984.83,662.07
ORD-1250,2024-02-21,East,Clothing,Hat,Fei Lin,4,962.35,0,3849.4,1847.94
ORD-1251,2025-04-28,West,Electronics,Phone,Dara Patel,1,1447.31,0,1447.31,827.97
ORD-1252,2025-10-28,North,Electronics,Tablet,Fei Lin,6,438.84,0,2633.04,1902.06
ORD-1253,2025-08-10,South,Electronics,Monitor,Ana Cruz,1,1371.15,0,1371.15,788.91
ORD-1254,2025-02-10,Central,Furniture,Chair,Ana Cruz,5,1316.96,0,6584.8,3552.62
ORD-1255,2024-12-09,West,Furniture,Sofa,Chen Wu,8,1335.55,0,10684.4,7535.9
ORD-1256,2024-07-16,South,Electronics,Tablet,Ana Cruz,3,1100.71,0.15,2806.81,1479.69
ORD-1257,2024-12-11,West,Furniture,Lamp,Dara Patel,4,275.61,0.2,881.95,565.87
ORD-1258,2025-06-11,West,Furniture,Desk,Chen Wu,7,1008.84,0,7061.88,5257.61
ORD-1259,2024-09-11,East,Electronics,Tablet,Chen Wu,7,364.75,0.2,2042.6,1082.78
ORD-1260,2025-08-19,North,Clothing,Hat,Fei Lin,1,403.41,0,403.41,265.38
ORD-1261,2024-05-01,East,Furniture,Bookshelf,Fei Lin,3,617.04,0.1,1666.01,1211.08
ORD-1262,2024-04-30,West,Clothing,Jacket,Ben Lee,6,927.72,0,5566.32,4103.54
ORD-1263,2025-04-10,Central,Clothing,Hat,Fei Lin,6,632.53,0.1,3415.66,2472.39
ORD-1264,2024-08-11,North,Electronics,Monitor,Eli Khan,2,795.38,0.1,1431.68,946.53
ORD-1265,2024-04-24,Central,Electronics,Monitor,Dara Patel,4,865.46,0,3461.84,1728.71
ORD-1266,2024-04-29,North,Clothing,Jeans,Dara Patel,8,150.05,0.1,1080.36,630.55
ORD-1267,2024-05-15,East,Clothing,Sneakers,Fei Lin,8,852.41,0.1,6137.35,3613.14
